,users,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
184,184,,,,,-2.625,,-3.875,0.688,,,,,1.5619999999999998,,-0.21899999999999997,-3.875,-2.344,2.812,2.906,4.343999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.781,,,3.562,3.562,,,3.562,3.375,,,,,,,,,,,,,,,,,,,,,,,,,
185,185,,,,,-7.062,,8.219,2.188,,,,,-9.375,,7.562,-8.187999999999999,9.812000000000001,-9.594,7.812,6.25,,,,,,,-9.719,,9.594,,,9.937999999999999,,,9.812000000000001,9.781,,,,,,,,,,,,,,9.969,,,,,,,,,,,,,,,,,,,,,,,,,,,8.219,,-9.406,,,,,6.438,9.906,-9.812000000000001,,,,-9.781,,,,,,,,9.906,,
186,186,,,,,-5.188,,5.188,7.281000000000001,,,,,1.219,,0.938,7.343999999999999,-3.062,1.844,4.218999999999999,-4.343999999999999,-5.281000000000001,-1.219,5.156000000000001,-4.406000000000001,2.375,-4.375,-5.281000000000001,3.719,4.531000000000001,-1.3119999999999998,-1.875,8.187999999999999,4.875,-2.406,-5.0,5.656000000000001,5.688,2.281,-2.062,8.344,6.25,6.343999999999999,-0.938,-2.094,-5.718999999999999,2.781,-4.125,7.781000000000001,-3.562,-4.812,-3.938,1.5619999999999998,1.375,-1.906,-3.5,3.031,-2.344,-5.5,-1.594,1.719,-1.094,-5.562,1.031,-2.281,-3.5,-2.969,-3.75,0.21899999999999997,2.0,-2.531,-2.625,1.031,0.594,-3.656,-2.031,1.156,3.344,-1.906,1.719,-2.125,3.062,-1.625,-3.5,-2.25,-1.531,-1.406,1.656,-2.094,7.281000000000001,1.3119999999999998,2.125,5.125,2.188,-2.438,-2.875,-2.938,6.406000000000001,-4.781000000000001,-2.219,-2.125
187,187,,,,,3.812,,-2.094,-4.093999999999999,,,,,-9.812000000000001,,-7.656000000000001,-8.937999999999999,-9.531,-0.7190000000000001,-7.438,-8.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.312000000000001,
188,188,,,,,-9.844,,-9.937999999999999,-7.968999999999999,,,,,-8.25,,-8.0,-7.938,0.469,-3.469,-6.0,0.188,1.406,0.9690000000000001,0.188,0.156,1.3119999999999998,1.969,2.344,1.906,0.0,0.406,-3.031,2.344,-0.9690000000000001,0.812,2.312,-2.094,-1.062,0.938,1.3119999999999998,2.0,-0.625,0.875,-1.156,0.812,0.9690000000000001,0.188,0.6559999999999999,0.625,2.812,0.43799999999999994,-1.469,-1.656,1.875,-1.5,0.21899999999999997,0.562,1.6880000000000002,4.406000000000001,0.0,-3.062,-2.25,2.312,1.406,-2.656,-2.438,2.625,0.43799999999999994,-0.5,-0.938,1.781,-5.531000000000001,0.562,0.25,1.0,-2.781,2.812,0.7190000000000001,0.344,-4.218999999999999,4.468999999999999,1.3119999999999998,1.406,2.438,-3.438,1.531,1.8119999999999998,3.719,1.375,0.375,-2.469,2.656,2.5,1.375,1.156,2.375,2.5,5.625,2.188,1.219,-3.094
191,191,,,,,-9.562000000000001,,-9.531,-3.5,,,,,-9.5,,-9.25,7.531000000000001,2.344,3.906,9.781,1.8119999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,192,,,,,3.188,,6.031000000000001,0.21899999999999997,,,,,-3.562,,-3.875,-7.938,-8.625,-3.781,2.406,2.719,,,,,,,,,,,,4.625,,,,5.062,,,,,,,,,,,,,,4.093999999999999,,,,,,,,,,,,3.625,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,
193,193,,,,,-2.281,,-8.75,1.906,,,,,0.0,,-0.094,2.594,5.0,3.188,5.375,5.406000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,,,,,-4.406000000000001,,9.875,-4.5,,,,,4.625,,-4.688,1.188,-1.406,-4.875,8.187999999999999,1.875,4.875,,,,,,9.219,,8.687999999999999,,,-4.812,,,9.625,8.25,,,,,5.906000000000001,5.0,0.312,-8.969,,,,,8.625,2.438,-9.062000000000001,-6.906000000000001,9.219,8.75,-6.281000000000001,,8.625,7.718999999999999,7.875,7.812,-6.25,9.969,,,,7.938,,8.25,9.969,,,7.468999999999999,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,
195,195,,,,,-4.343999999999999,,-2.562,9.875,,,,,9.625,,-6.75,-6.75,9.844,9.812000000000001,9.781,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.312000000000001,-8.125,,,9.937999999999999,,,9.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,197,,,,,1.969,,-4.625,3.844,,,,,-5.031000000000001,,1.906,-7.031000000000001,5.218999999999999,0.062,-8.531,-3.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.343999999999999,,5.156000000000001,1.594,7.938,,7.968999999999999,,,,,,,,,,,,,,,,,,,,,,,
198,198,,,,,2.125,,5.843999999999999,-0.812,,,,,7.0,,8.75,9.937999999999999,-8.937999999999999,-4.593999999999999,6.218999999999999,2.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,201,,,,,-2.438,,-6.781000000000001,-2.031,,,,,3.656,,-4.031000000000001,4.188,-1.531,-2.031,3.469,-5.312,1.344,2.688,2.781,,2.781,4.25,3.75,1.5,-1.875,,3.031,2.656,,4.281000000000001,2.688,6.906000000000001,,4.781000000000001,1.5619999999999998,1.906,,-1.25,,,2.375,-0.625,-0.406,2.625,2.312,3.688,,,1.469,0.9059999999999999,-2.031,1.344,,,,,3.531,0.875,2.188,,5.218999999999999,0.875,,4.906000000000001,4.125,1.906,,1.875,-0.188,,,3.531,-1.719,2.938,-6.531000000000001,3.344,-3.219,0.8440000000000001,-6.156000000000001,3.594,-5.625,2.531,-1.219,4.218999999999999,3.656,-2.812,-0.188,-6.781000000000001,1.781,9.656,2.375,2.0,3.0,-6.093999999999999,2.25,2.719
202,202,,,,,-2.375,,0.75,2.156,,,,,-5.812,,1.3119999999999998,8.625,-0.406,-3.156,0.0,-1.156,8.75,8.031,2.094,-2.938,3.719,8.625,5.843999999999999,3.0,8.062000000000001,3.969,7.593999999999999,7.093999999999999,-5.343999999999999,8.719,6.188,7.531000000000001,1.125,-1.0,7.781000000000001,6.281000000000001,0.75,6.188,-4.781000000000001,4.188,8.594,5.875,8.781,5.75,8.812000000000001,7.375,5.375,4.906000000000001,9.125,8.531,2.375,7.875,-3.406,-3.156,6.812,8.594,7.593999999999999,9.031,7.562,8.0,4.125,7.343999999999999,-0.9690000000000001,7.593999999999999,9.25,7.375,9.187999999999999,8.219,0.938,6.688,7.75,8.656,-2.438,5.406000000000001,4.406000000000001,8.687999999999999,8.406,7.781000000000001,8.625,8.969,7.406000000000001,-2.094,6.25,6.656000000000001,7.0,7.593999999999999,6.406000000000001,8.656,8.594,4.156000000000001,7.875,9.125,9.844,8.344,3.469,9.531
203,203,,,,,-3.562,,0.344,1.9380000000000002,,,,,2.781,,-8.562000000000001,-2.125,-2.125,3.906,2.062,-1.781,1.094,,,,,,3.125,-0.031,3.375,,3.312,-0.812,,,4.375,5.093999999999999,,4.125,,,,2.469,,,,,-4.093999999999999,1.094,2.312,0.9690000000000001,,,4.531000000000001,3.375,,1.531,,,,,4.062,3.75,,,4.718999999999999,3.594,,-5.438,7.188,,,2.406,,,,3.031,,-0.75,,,,,1.781,,,,0.875,1.062,3.688,,2.062,,5.75,,4.062,2.125,2.906,,1.344,
204,204,,,,,8.156,,6.093999999999999,9.687999999999999,,,,,-8.75,,-9.125,-8.844,0.062,-2.906,9.531,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,205,,,,,-0.8440000000000001,,-5.718999999999999,6.906000000000001,,,,,9.937999999999999,,9.656,5.281000000000001,9.969,-9.125,9.0,8.875,6.938,,7.968999999999999,5.156000000000001,6.438,,7.218999999999999,,7.562,6.625,,7.156000000000001,,,6.218999999999999,6.593999999999999,,,,,,,,,,,,,,1.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,206,,,,,-6.125,,-8.344,9.625,,,,,7.375,,6.343999999999999,5.375,9.531,8.187999999999999,9.0,6.906000000000001,,,,,,,,,,,,,4.938,,,,2.375,,,,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,207,,,,,-7.656000000000001,,0.21899999999999997,-7.781000000000001,,,,,4.406000000000001,,-1.188,-8.25,-6.531000000000001,-0.562,-6.125,-1.906,2.5,,,,,,-4.406000000000001,,8.844,,2.0,2.969,,,6.062,0.281,,,,,,,-9.781,-8.969,,,,,1.031,2.5,-9.281,-7.5,0.9690000000000001,,,,-0.469,-4.218999999999999,2.938,1.625,,-2.5,,-9.375,-3.5,-6.906000000000001,-4.031000000000001,-1.469,-2.875,,-9.812000000000001,5.156000000000001,,-1.5619999999999998,-9.844,2.156,,,,,3.094,,1.5619999999999998,,,,,,3.094,,,,-2.031,,,,,,,
208,208,,,,,-8.969,,-9.219,-3.75,,,,,-9.812000000000001,,1.375,8.719,9.875,2.0,-9.687999999999999,-6.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,4.375,,-2.469,,2.312,2.219,,,,,,,,,,,,,,,
209,209,,,,,2.5,,7.312,6.938,,,,,7.468999999999999,,4.0,-5.843999999999999,9.906,1.844,9.75,5.468999999999999,4.375,-9.75,,-9.562000000000001,8.562000000000001,0.125,6.218999999999999,7.093999999999999,9.281,4.781000000000001,4.468999999999999,9.75,-9.437999999999999,-7.343999999999999,9.812000000000001,-1.3119999999999998,4.218999999999999,-8.312000000000001,8.094,-2.656,-9.562000000000001,-8.687999999999999,3.844,-9.312000000000001,5.0,-8.562000000000001,9.844,9.25,9.625,0.7190000000000001,-8.844,-1.0,8.187999999999999,5.125,-6.688,-5.781000000000001,-7.968999999999999,8.156,-5.938,-9.687999999999999,1.0,6.562,1.4380000000000002,-9.687999999999999,-1.156,-1.062,-7.718999999999999,6.343999999999999,2.844,-4.531000000000001,,3.188,9.312000000000001,,,8.094,,9.562000000000001,,9.781,-3.094,9.437999999999999,-3.156,9.5,-4.75,-9.687999999999999,-6.656000000000001,7.406000000000001,9.844,-3.969,-4.875,,8.5,,,9.469,9.656,4.0,,6.25
212,212,,,,,-2.125,,0.9059999999999999,1.281,,,,,1.062,,-2.594,-7.125,1.219,-2.156,0.8440000000000001,1.3119999999999998,2.156,2.0,0.312,,0.375,3.125,4.688,-0.281,0.9690000000000001,,1.9380000000000002,2.781,,0.375,2.375,2.25,,0.594,2.0,2.0,-0.312,2.594,,,2.0,3.125,-0.812,2.562,1.875,0.7809999999999999,,-0.469,1.969,1.125,0.375,1.6880000000000002,,,,-0.7190000000000001,1.156,1.75,,1.406,5.75,2.0,,3.0,3.125,1.625,2.594,2.938,0.594,-0.125,-4.062,1.5619999999999998,-0.5,1.625,-0.5,0.594,1.9380000000000002,0.375,2.969,0.375,1.625,2.656,1.625,1.75,-3.406,2.594,1.469,1.594,2.5,1.75,0.031,0.562,2.438,1.4380000000000002,0.156,1.844
213,213,,,,,-4.781000000000001,,4.281000000000001,7.968999999999999,,,,,-4.843999999999999,,4.312,6.188,7.938,7.875,7.718999999999999,-6.843999999999999,5.343999999999999,,,2.438,,-3.469,7.531000000000001,7.531000000000001,8.375,4.562,7.906000000000001,8.844,3.344,,8.312000000000001,6.188,-2.906,5.781000000000001,7.5,7.312,,8.062000000000001,-7.0,-6.781000000000001,7.688,-9.156,,7.531000000000001,8.594,6.438,4.343999999999999,,8.094,7.875,,7.718999999999999,-0.031,4.938,5.281000000000001,,6.812,8.0,8.062000000000001,,5.968999999999999,3.781,-6.438,8.156,8.844,,5.906000000000001,,,5.5,7.562,7.343999999999999,7.968999999999999,,,,,,,,,,,7.781000000000001,8.437999999999999,,,,8.25,,,,,,,
215,215,,,,,5.062,,6.531000000000001,-8.625,,,,,-3.719,,-7.812,-9.875,-1.3119999999999998,-8.531,9.312000000000001,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9380000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,1.031,,,,-3.656,,,,,,,,5.593999999999999,-5.688,
216,216,,,,,7.938,,9.969,9.5,,,,,-9.375,,-6.281000000000001,-4.688,-1.344,-9.906,9.937999999999999,9.437999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,217,,,,,5.125,,-5.593999999999999,6.156000000000001,,,,,-1.969,,-5.281000000000001,-6.875,-6.875,4.062,-5.531000000000001,-5.531000000000001,,,,,,,5.375,,6.812,,,1.375,,,7.656000000000001,-0.281,,,,,,,,,,,,,,4.468999999999999,,,8.719,,,,,,,,,,,,,,,,,,,5.125,,,,4.812,,,,,,,,,,,,,6.812,,,,,,,,,,,
219,219,,,,,-8.812000000000001,,4.188,4.156000000000001,,,,,0.875,,0.7190000000000001,2.062,2.062,2.062,2.062,2.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,220,,,,,-7.688,,-8.25,-8.0,,,,,0.312,,-7.875,9.0,-8.812000000000001,-7.656000000000001,-4.906000000000001,-5.218999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,222,,,,,-0.156,,-0.156,-0.156,,,,,4.093999999999999,,-3.75,-3.75,5.406000000000001,0.156,-3.625,-1.719,3.062,,-5.343999999999999,5.438,,7.312,-4.625,,6.438,-2.0,8.562000000000001,-6.468999999999999,-7.312,8.375,-5.156000000000001,-4.562,-7.343999999999999,,4.5,4.5,1.844,3.188,-1.406,-2.031,8.375,-2.062,,-1.969,6.625,6.438,-0.375,-2.062,5.468999999999999,-2.094,2.219,4.5,4.5,4.5,4.625,4.625,1.062,-1.094,8.375,,4.156000000000001,-4.031000000000001,,4.5,5.718999999999999,,,2.812,,,,4.5,,8.375,,,-4.031000000000001,,-1.9380000000000002,,4.656000000000001,,4.5,4.5,-6.031000000000001,,4.468999999999999,,-2.062,,,,,8.375,,-2.094
223,223,,,,,1.5619999999999998,,2.062,3.406,,,,,-1.5,,-4.0,-5.531000000000001,-7.031000000000001,-5.718999999999999,-0.469,-4.656000000000001,,,,,,,,,4.718999999999999,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,,,,,-4.593999999999999,,,-1.4380000000000002,,,-2.125,-3.75,,-0.156,,,,,,,,,,,,,,,,1.9380000000000002,,,,,,,,,,,
224,224,,,,,-8.5,,-8.5,-8.5,,,,,-8.5,,7.688,-6.625,-5.688,6.218999999999999,-1.8119999999999998,-1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,-1.5,,-1.625,,-2.312,-2.625,,,,,,,,,2.75,,,,,,,,,,,
225,225,,,,,-5.938,,-9.844,-9.75,,,,,-2.125,,-9.344,9.875,-9.844,9.969,9.781,9.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.969,,-1.25,,9.906,,,,9.906,,,,,,,,,9.969,
226,226,,,,,-5.688,,-6.75,8.781,,,,,8.875,,9.094,8.906,9.937999999999999,7.688,8.25,7.781000000000001,,,,,,,,,,,,8.437999999999999,,,8.812000000000001,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.937999999999999,,,,,,,,,,,
227,227,,,,,2.781,,-2.156,2.219,,,,,3.656,,-5.406000000000001,3.844,-4.343999999999999,1.4380000000000002,-7.593999999999999,-6.156000000000001,,,,,,,,,0.812,,,-5.281000000000001,,,-7.375,2.75,,,,,,,,,,,,,,-7.343999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.031000000000001,,,,,,,,,,,
228,228,,,,,-6.75,,-6.812,-6.781000000000001,,,,,-6.281000000000001,,-6.218999999999999,-5.218999999999999,5.125,-3.875,4.375,0.7190000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.375,,,,,,,,,,,
229,229,,,,,-7.656000000000001,,-6.688,-6.688,,,,,-6.062,,-7.312,7.593999999999999,1.75,-5.218999999999999,-3.594,3.469,,-4.312,7.593999999999999,,,,-7.625,1.25,,,,5.375,,,4.5,3.062,,,,,,,,,,,6.343999999999999,4.781000000000001,0.594,-4.25,-8.875,-6.593999999999999,0.125,,-8.312000000000001,,5.188,,,,,2.719,,,,-9.25,,-4.812,5.75,,,0.6559999999999999,,,,-5.375,,7.781000000000001,,6.656000000000001,,,,,,,-2.406,-6.938,-4.531000000000001,,-7.843999999999999,3.281,2.062,-9.187999999999999,,2.438,,,,
230,230,,,,,-6.062,,-6.156000000000001,4.218999999999999,,,,,-3.875,,5.375,6.062,0.312,-3.875,5.312,-2.094,,,,5.531000000000001,-0.43799999999999994,,-6.062,,2.156,3.031,,7.438,-0.375,,4.375,-5.843999999999999,-0.375,,,,-8.406,,5.875,,,,,,,-2.031,,,6.218999999999999,,,,,,,,,7.812,,,,-0.312,,,,,,,,,,,,,,,,,,,,,,,2.094,,,,,,,,,,,
231,231,,,,,-3.594,,-4.906000000000001,-5.093999999999999,,,,,-1.281,,3.406,3.562,-3.938,0.625,3.0,2.188,,,,,,,0.812,,,,,-0.688,,,,-2.594,,,,,,,,0.406,,,,,,0.6559999999999999,-2.0,-3.219,,,0.312,,-1.125,-4.188,-1.781,-3.0,,0.031,1.3119999999999998,,,-1.906,,-2.094,,,,-2.188,,,,1.3119999999999998,,,,,,,,,,,,0.406,-2.625,,,,-1.6880000000000002,1.875,,,,,,
232,232,,,,,5.25,,7.718999999999999,3.438,,,,,-5.781000000000001,,0.7190000000000001,4.343999999999999,4.75,-1.656,3.281,4.531000000000001,3.938,3.0,-9.687999999999999,-0.344,1.281,-4.312,2.969,-5.938,-3.906,1.188,-5.656000000000001,4.188,1.9380000000000002,4.438,-3.0,4.093999999999999,-5.656000000000001,3.469,-5.531000000000001,2.219,0.188,1.75,4.375,9.469,2.594,1.5619999999999998,-4.375,-5.718999999999999,-4.281000000000001,2.812,1.219,-5.562,2.375,2.469,1.094,-5.656000000000001,-3.875,7.031000000000001,1.344,1.062,-5.438,-4.938,2.688,-2.969,-5.281000000000001,2.312,-3.969,4.5,1.656,2.156,-3.406,2.219,3.312,-5.281000000000001,4.343999999999999,1.219,3.875,4.188,-4.906000000000001,-4.312,2.938,1.625,-1.906,-5.188,-5.875,4.188,-5.562,2.062,6.218999999999999,-5.375,2.688,-5.781000000000001,1.625,9.844,2.938,-3.969,0.21899999999999997,-3.844,-3.188,-3.062
233,233,,,,,8.125,,-5.906000000000001,-7.343999999999999,,,,,-9.562000000000001,,-9.25,-9.469,-9.031,-9.406,-0.281,-7.468999999999999,4.406000000000001,-7.75,-8.781,-8.5,2.062,2.656,-9.562000000000001,3.219,2.844,-9.344,-7.0,2.0,-8.5,-4.656000000000001,2.75,2.594,-4.343999999999999,-7.031000000000001,-7.468999999999999,-9.219,9.375,8.187999999999999,-8.937999999999999,-8.031,-2.344,-2.344,-5.593999999999999,2.531,-4.218999999999999,7.5,-9.312000000000001,-8.437999999999999,4.968999999999999,-5.468999999999999,-5.25,4.156000000000001,-8.844,-9.812000000000001,-5.468999999999999,-6.875,-7.0,-5.906000000000001,-8.094,-9.187999999999999,5.718999999999999,2.188,-8.719,-3.781,0.9690000000000001,-8.969,-6.343999999999999,-4.406000000000001,-9.281,-8.344,-7.312,3.75,-3.938,-8.437999999999999,-5.062,-2.969,-7.656000000000001,-7.218999999999999,-8.875,-9.375,-9.156,-6.156000000000001,-9.469,5.531000000000001,7.093999999999999,-9.281,-4.688,3.406,4.125,-7.406000000000001,4.375,3.562,-1.5619999999999998,-3.406,-5.718999999999999,-9.156
234,234,,,,,-2.812,,-5.843999999999999,3.062,,,,,5.312,,4.906000000000001,2.531,3.406,1.781,4.281000000000001,3.531,9.406,,,,,,5.688,,-6.312,,1.781,5.281000000000001,,,6.343999999999999,-2.219,,,,,,,,,,,,,8.281,-6.406000000000001,,,9.687999999999999,9.25,,,,,,,8.844,6.718999999999999,,1.219,,8.75,5.25,7.25,8.906,7.968999999999999,6.25,9.625,8.125,7.781000000000001,7.468999999999999,7.438,7.375,,,,7.781000000000001,,,,,,,7.5,7.281000000000001,,,,,,,,,,,
235,235,,,,,7.562,,7.562,7.375,,,,,8.531,,7.5,4.968999999999999,4.843999999999999,2.781,2.844,5.156000000000001,7.562,,,,,,6.968999999999999,,6.906000000000001,,7.531000000000001,6.718999999999999,,,7.062,6.468999999999999,,6.25,,,,5.375,,,,,,8.375,6.938,5.938,,,8.125,7.562,,,,,,,8.469,6.688,,,7.562,7.25,,7.593999999999999,8.562000000000001,,,9.031,,,,8.594,,,5.218999999999999,3.312,,4.188,,4.968999999999999,6.156000000000001,3.938,,,6.125,6.031000000000001,,,8.562000000000001,,,,,8.156,7.375,8.469
236,236,,,,,-5.843999999999999,,-6.438,6.843999999999999,,,,,-2.906,,1.719,0.094,1.5619999999999998,0.6559999999999999,-0.688,-1.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,237,,,,,-9.469,,-10.0,-9.906,,,,,-9.25,,-9.594,-9.531,9.281,-9.437999999999999,-9.187999999999999,-9.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,239,,,,,-5.375,,7.188,8.75,,,,,7.781000000000001,,-8.531,8.875,7.438,-0.8440000000000001,8.625,-5.562,,9.844,,9.281,3.062,,,,7.843999999999999,7.938,,7.375,-7.062,8.062000000000001,9.687999999999999,,5.343999999999999,6.093999999999999,,,8.219,3.625,,,0.406,8.437999999999999,,1.8119999999999998,3.156,7.968999999999999,,,-9.406,-9.656,,-1.3119999999999998,,,,,,,-8.469,,,7.062,,-6.125,7.938,,,4.188,,,,5.281000000000001,,7.031000000000001,-3.625,,,,7.438,,,,6.0,8.187999999999999,-8.219,-4.375,-8.062000000000001,,-6.093999999999999,,,,-7.406000000000001,,9.937999999999999,
241,241,,,,,1.25,,-3.375,-2.719,,,,,2.688,,-2.594,3.562,9.844,3.5,5.718999999999999,-0.375,9.25,9.0,1.531,-2.375,9.156,9.312000000000001,6.343999999999999,2.156,8.812000000000001,-0.062,9.094,8.687999999999999,9.469,8.875,8.437999999999999,6.218999999999999,-0.812,1.156,0.21899999999999997,9.969,9.5,6.25,9.719,9.156,0.156,9.031,0.188,-1.406,8.219,3.031,9.437999999999999,9.312000000000001,8.812000000000001,-4.375,9.219,9.25,2.5,0.344,0.9690000000000001,0.938,9.281,8.562000000000001,3.406,0.625,9.531,9.062000000000001,9.469,8.844,9.5,-0.25,9.437999999999999,0.156,9.281,1.094,9.344,8.687999999999999,9.062000000000001,9.281,-0.125,9.156,9.781,1.031,8.437999999999999,0.7809999999999999,-0.531,-0.406,9.281,8.281,6.125,3.656,9.031,9.156,-0.938,9.687999999999999,9.719,9.469,9.75,1.3119999999999998,0.125,9.25
243,243,,,,,-4.656000000000001,,1.4380000000000002,-5.75,,,,,2.25,,-5.593999999999999,-4.343999999999999,-3.781,-3.25,-6.093999999999999,-6.468999999999999,-2.844,-3.938,-4.593999999999999,,,,0.469,,-2.062,,,-1.781,,,-3.969,-1.406,,,,,,,,,,,,,,3.656,,,-2.781,,,,,,,,,,,,,,,,,,,1.75,,,,-2.406,,,,,,,-0.7809999999999999,,,,,,0.594,,,,,,,,,,,
244,244,,,,,-9.844,,-9.844,-9.844,,,,,-9.844,,-9.844,-9.844,-9.844,-9.844,-9.844,-9.844,,,,-9.844,-9.844,,-9.844,,,-9.844,,-9.844,-9.844,-9.844,,,-9.844,,,,-9.844,,-9.844,-9.844,,,,,,-9.844,,,-9.844,,,,,,,,,,,,,,,,,,,,,,,-9.844,,,,,,,-9.844,,,,,,-9.844,,,,,,,,,,,
245,245,,,,,-3.406,,-4.438,1.781,,,,,-4.312,,1.531,-3.688,-3.656,-6.5,-7.093999999999999,-5.218999999999999,4.406000000000001,-9.281,3.688,-4.5,-1.594,1.531,-6.25,-5.468999999999999,2.656,-6.906000000000001,-6.843999999999999,-9.125,-2.469,-9.375,-6.188,-7.125,-1.6880000000000002,-4.188,-3.969,-8.812000000000001,-3.625,2.375,-6.593999999999999,6.593999999999999,-8.656,0.7809999999999999,-8.562000000000001,-8.781,4.406000000000001,1.969,-1.25,-3.531,-7.656000000000001,6.0,-7.156000000000001,-2.562,-6.0,-6.25,4.125,-6.343999999999999,-7.75,-6.875,-2.344,-4.343999999999999,-3.25,-7.218999999999999,3.5,-8.719,-5.812,-6.531000000000001,-9.625,4.875,-7.031000000000001,-2.375,-6.031000000000001,-4.093999999999999,-5.938,-8.812000000000001,-8.656,-8.719,-6.75,-1.75,-5.718999999999999,-9.062000000000001,-9.344,7.218999999999999,-4.656000000000001,-7.781000000000001,6.75,-8.906,5.906000000000001,-9.562000000000001,2.062,9.344,-8.344,3.062,-3.375,-6.938,-9.375,-6.062
246,246,,,,,0.43799999999999994,,2.625,-3.5,,,,,-1.625,,-6.312,-2.219,4.438,-2.344,1.531,1.906,2.969,,,,,,1.875,,2.875,,-1.406,5.093999999999999,,,-5.0,3.812,,,,,,3.656,,,,,,,3.719,1.406,,,6.968999999999999,0.6559999999999999,,3.531,,-6.625,,,0.938,7.718999999999999,,,1.969,-2.406,,2.625,5.25,,,1.8119999999999998,,,,3.531,,,,,-1.094,,,,,,,-3.188,6.781000000000001,,,,2.906,,,,,,,
247,247,,,,,2.375,,6.188,4.343999999999999,,,,,-0.812,,-6.5,-6.562,-7.562,-1.031,-4.218999999999999,-4.468999999999999,,,-4.343999999999999,,,,-0.375,,5.25,,,,,,,4.531000000000001,,,,,,,,,,,,,,4.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8119999999999998,,,,,,,,,,,
